Name,Stars,Forks,Language,Domain
NativeScript/NativeScript,9290,722,TypeScript,Non-web libraries and frameworks
puikinsh/gentelella,9285,2753,HTML,Documentation
philipwalton/solved-by-flexbox,9272,697,JavaScript,Web libraries and frameworks
ibireme/YYKit,9267,2609,Objective-C,Non-web libraries and frameworks
adobe-webplatform/Snap.svg,9247,872,JavaScript,Web libraries and frameworks
uxsolutions/bootstrap-datepicker,9236,3866,JavaScript,Web libraries and frameworks
JacksonTian/fks,9230,3504,JavaScript,Documentation
songrotek/Deep-Learning-Papers-Reading-Roadmap,9206,1225,Python,Documentation
sass/sass,9203,1728,Ruby,Software tools
selectize/selectize.js,9188,2080,JavaScript,Web libraries and frameworks
SVProgressHUD/SVProgressHUD,9162,2016,Objective-C,Non-web libraries and frameworks
capistrano/capistrano,9158,1515,Ruby,Software tools
feross/standard,9145,523,JavaScript,Software tools
keen/dashboards,9136,1046,JavaScript,Web libraries and frameworks
elixir-lang/elixir,9125,1254,Elixir,System software
RubaXa/Sortable,9117,1333,JavaScript,Web libraries and frameworks
DrkSephy/es6-cheatsheet,9093,545,JavaScript,Documentation
foreverjs/forever,9091,673,JavaScript,Software tools
cmderdev/cmder,9065,646,PowerShell,Software tools
jiahaog/nativefier,9057,367,JavaScript,Application software
isagalaev/highlight.js,9056,1561,JavaScript,Web libraries and frameworks
benweet/stackedit,9054,1530,JavaScript,Application software
gionkunz/chartist-js,9053,1520,JavaScript,Web libraries and frameworks
go-martini/martini,9041,949,Go,Web libraries and frameworks
rbenv/rbenv,9032,836,Shell,Software tools
Marak/faker.js,9021,740,JavaScript,Non-web libraries and frameworks
CocoaPods/CocoaPods,9010,1715,Ruby,Software tools
yaronn/blessed-contrib,8992,362,JavaScript,Non-web libraries and frameworks
inconshreveable/ngrok,8980,1306,Go,Software tools
cayleygraph/cayley,8962,756,Go,System software
petehunt/webpack-howto,8962,691,JavaScript,Documentation
parkjs814/AlgorithmVisualizer,8948,1176,JavaScript,Application software
dimsemenov/Magnific-Popup,8933,2160,JavaScript,Web libraries and frameworks
nathanmarz/storm,8930,1784,Java,Software tools
peachananr/onepage-scroll,8917,2121,JavaScript,Web libraries and frameworks
netty/netty,8912,4421,Java,Software tools
Selz/plyr,8893,727,JavaScript,Web libraries and frameworks
aurelia/framework,8892,513,JavaScript,Web libraries and frameworks
scottjehl/picturefill,8883,1004,JavaScript,Web libraries and frameworks
wekan/wekan,8878,1226,JavaScript,Software tools
docker/compose,8872,1381,Python,Software tools
cubiq/iscroll,8869,2698,JavaScript,Web libraries and frameworks
chrisbanes/PhotoView,8867,2789,Java,Non-web libraries and frameworks
keystonejs/keystone,8849,1412,JavaScript,Web libraries and frameworks
WickyNilliams/headroom.js,8840,731,JavaScript,Web libraries and frameworks
infernojs/inferno,8832,308,JavaScript,Web libraries and frameworks
playframework/playframework,8831,3065,Scala,Web libraries and frameworks
facebook/draft-js,8823,732,JavaScript,Web libraries and frameworks
androidannotations/androidannotations,8818,2338,Java,Non-web libraries and frameworks
DmitryBaranovskiy/raphael,8813,1400,JavaScript,Web libraries and frameworks
nolimits4web/Framework7,8774,1894,HTML,Web libraries and frameworks
amazeui/amazeui,8772,2103,CSS,Web libraries and frameworks
nicklockwood/iCarousel,8753,2120,Objective-C,Non-web libraries and frameworks
chrissimpkins/Hack,8752,283,Python,Software tools
composer/composer,8739,2441,PHP,Software tools
SnapKit/SnapKit,8730,890,Swift,Non-web libraries and frameworks
tldr-pages/tldr,8715,647,TeX,Application software
Carthage/Carthage,8709,728,Swift,Software tools
erikras/react-redux-universal-hot-example,8676,2081,JavaScript,Web libraries and frameworks
gin-gonic/gin,8666,996,Go,Web libraries and frameworks
tpope/vim-pathogen,8652,1021,VimL,Software tools
vim-airline/vim-airline,8623,616,VimL,Software tools
CocoaLumberjack/CocoaLumberjack,8615,1568,Objective-C,Non-web libraries and frameworks
sinatra/sinatra,8615,1609,Ruby,Web libraries and frameworks
sequelize/sequelize,8594,1678,JavaScript,Non-web libraries and frameworks
WordPress/WordPress,8573,4446,PHP,Application software
bang590/JSPatch,8572,1913,C,Non-web libraries and frameworks
react-bootstrap/react-bootstrap,8569,1442,JavaScript,Web libraries and frameworks
phoenixframework/phoenix,8568,976,Elixir,Web libraries and frameworks
fgnass/spin.js,8560,1016,JavaScript,Web libraries and frameworks
JakeWharton/ViewPagerIndicator,8551,4220,Java,Non-web libraries and frameworks
thomaspark/bootswatch,8519,2382,HTML,Web libraries and frameworks
you-dont-need/You-Dont-Need-Javascript,8516,465,CSS,Documentation
gabrielecirulli/2048,8512,14538,CSS,Application software
equinusocio/material-theme,8508,640,Python,Application software
fbsamples/f8app,8503,1556,JavaScript,Documentation
pockethub/PocketHub,8482,3714,Java,Application software
mysqljs/mysql,8479,1357,JavaScript,Non-web libraries and frameworks
ruanyf/react-demos,8475,4006,JavaScript,Documentation
jaywcjlove/awesome-mac,8450,895,JavaScript,Documentation
afollestad/material-dialogs,8448,1758,Java,Web libraries and frameworks
sdelements/lets-chat,8409,1266,JavaScript,Application software
drone/drone,8404,973,Go,Software tools
VincentGarreau/particles.js,8401,1196,JavaScript,Web libraries and frameworks
avajs/ava,8391,392,JavaScript,Software tools
grpc/grpc,8377,1654,C,Non-web libraries and frameworks
Automattic/wp-calypso,8364,1067,JavaScript,Web libraries and frameworks
zeit/next.js,8363,408,JavaScript,Web libraries and frameworks
guzzle/guzzle,8361,1318,PHP,Web libraries and frameworks
ptmt/react-native-macos,8323,324,JavaScript,Non-web libraries and frameworks
aymericdamien/TensorFlow-Examples,8317,2136,Jupyter Notebook,Documentation
thoughtbot/paperclip,8312,1853,Ruby,Non-web libraries and frameworks
FormidableLabs/webpack-dashboard,8308,199,JavaScript,Software tools
uikit/uikit,8289,1548,HTML,Web libraries and frameworks
google/fonts,8287,1205,PureBasic,Web libraries and frameworks
vapor/vapor,8281,475,Swift,Web libraries and frameworks
allenwong/30DaysofSwift,8278,1542,Swift,Documentation
NUKnightLab/TimelineJS,8275,1627,JavaScript,Web libraries and frameworks
hashicorp/consul,8268,1414,Go,Software tools
pandas-dev/pandas,8264,3323,Python,Non-web libraries and frameworks
Mashape/kong,8260,839,Lua,Software tools
google/leveldb,8248,2100,C++,System software
cockroachdb/cockroach,8235,834,Go,System software
fullstackio/FlappySwift,8232,2392,Swift,Application software
onevcat/VVDocumenter-Xcode,8228,1744,Objective-C,Software tools
HubSpot/youmightnotneedjquery,8221,342,HTML,Documentation
jessepollak/card,8221,844,CSS,Web libraries and frameworks
Netflix/Hystrix,8217,1603,Java,Software tools
BrowserSync/browser-sync,8208,512,JavaScript,Web libraries and frameworks
binux/pyspider,8190,2154,Python,Software tools
vim/vim,8190,948,C,Software tools
lgvalle/Material-Animations,8188,1753,Java,Non-web libraries and frameworks
ericelliott/essential-javascript-links,8181,697,ApacheConf,Documentation
